id,name_jp,name_inci,component_number,definition,name_cn,purpose,regulation,cas_rn,organic_value,inorganic_value,notes,related_materials,commercial_products,external_links
1,グリセリン,Glycerin,01234,保湿成分として広く使われる多価アルコール,甘油,保湿、溶剤,,56-81-5,,,,,9999件,
2,水,Water,00001,化粧品の基剤,水,溶剤,,7732-18-5,,,,,9841件,
3,BG,Butylene Glycol,01235,保湿・溶剤として使われる多価アルコール,丁二醇,保湿、溶剤,,107-88-0,,,,,5931件,
4,ヒアルロン酸Na,Sodium Hyaluronate,03201,高分子保湿成分,透明质酸钠,保湿,,9067-32-7,,,,,4201件,
5,ナイアシンアミド,Niacinamide,02401,美白・バリア機能に作用するビタミンB3誘導体,烟酰胺,美白、バリア,,98-92-0,,,,,3856件,
6,セラミドNP,Ceramide NP,04501,皮膚バリア機能を担うセラミド,神经酰胺,バリア、保湿,,100403-19-8,,,,,2104件,
7,アルブチン,Arbutin,02301,チロシナーゼ阻害による美白成分,熊果苷,美白、透明感,,497-76-7,,,,,1876件,
8,レチノール,Retinol,03501,抗シワ・ターンオーバー促進,视黄醇,抗シワ、ターンオーバー,,68-26-8,,,,,1203件,
9,アスコルビルグルコシド,Ascorbyl Glucoside,02501,安定型ビタミンC誘導体,抗坏血酸葡糖苷,美白、抗酸化,,129499-78-1,,,,,987件,
10,フラーレン,Fullerene,05001,高い抗酸化力を持つ炭素クラスター,富勒烯,抗酸化、抗シワ,,99685-96-8,,,,,432件,
