ingredient_name,ingredient_id,base_category,function_id,function_tag_jp,function_tag_en,function_tag_cn,product_count_pair,product_count_ingredient,popularity_score,recommendation_score
GABA,ING-0001,GABA,F03,血圧,Blood Pressure,血压,428,833,100,100
GABA,ING-0001,GABA,F10,リラックス,Stress Relief,放松减压,426,833,100,100
GABA,ING-0001,GABA,F11,疲労感,Anti-Fatigue,抗疲劳,372,833,100,100
GABA,ING-0001,GABA,F09,睡眠,Sleep Quality,睡眠质量,303,833,100,100
ルテイン,ING-0002,ルテイン,F14,目の健康,Eye Health,眼部健康,254,254,100,100
GABA,ING-0001,GABA,F14,目の健康,Eye Health,眼部健康,228,833,100,100
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F05,体脂肪,Body Fat,体脂肪,211,249,100,100
エラグ酸,ING-0004,エラグ酸,F05,体脂肪,Body Fat,体脂肪,182,188,100,100
エラグ酸,ING-0004,エラグ酸,F04,中性脂肪,Triglycerides,甘油三酯,173,188,100,100
ゼアキサンチン,ING-0007,ルテイン,F14,目の健康,Eye Health,眼部健康,151,151,100,100
アスタキサンチン,ING-0008,アスタキサンチン,F14,目の健康,Eye Health,眼部健康,133,133,100,100
GABA,ING-0001,GABA,F15,肌の健康,Skin Health,皮肤健康,130,833,100,100
サケ鼻軟骨由来プロテオグリカン,ING-0009,プロテオグリカン,F12,骨の健康,Bone Health,骨骼健康,129,129,100,100
サケ鼻軟骨由来プロテオグリカン,ING-0009,プロテオグリカン,F13,関節,Joint Health,关节健康,129,129,100,100
難消化性デキストリン(食物繊維),ING-0006,食物繊維,F02,血糖値,Blood Sugar,血糖调节,120,155,100,100
有胞子性乳酸菌,ING-0010,乳酸菌・プロバイオティクス,F01,腸内環境,Gut Health,肠道健康,117,117,100,100
難消化性デキストリン(食物繊維),ING-0006,食物繊維,F04,中性脂肪,Triglycerides,甘油三酯,109,155,100,100
イヌリン,ING-0005,イヌリン,F02,血糖値,Blood Sugar,血糖调节,107,160,100,100
ヒハツ由来ピペリン類,ING-0012,ヒハツ,F20,血流,Blood Circulation,血液循环,95,96,100,100
ルテイン,ING-0002,ルテイン,F10,リラックス,Stress Relief,放松减压,92,254,100,100
葛の花由来イソフラボン,ING-0014,大豆イソフラボン,F05,体脂肪,Body Fat,体脂肪,89,90,100,100
N-アセチルグルコサミン,ING-0013,グルコサミン,F13,関節,Joint Health,关节健康,89,94,100,100
ルテイン,ING-0002,ルテイン,F11,疲労感,Anti-Fatigue,抗疲劳,88,254,100,100
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F19,筋肉,Muscle Health,肌肉健康,87,249,100,100
ゼアキサンチン,ING-0007,ルテイン,F10,リラックス,Stress Relief,放松减压,87,151,100,100
ヒハツ由来ピペリン類,ING-0012,ヒハツ,F15,肌の健康,Skin Health,皮肤健康,87,96,100,100
イヌリン,ING-0005,イヌリン,F01,腸内環境,Gut Health,肠道健康,83,160,100,100
ラフマ由来イソクエルシトリン,ING-0015,ラフマイソクエルシトリン,F09,睡眠,Sleep Quality,睡眠质量,83,88,100,100
ラフマ由来ヒペロシド,ING-0016,ラフマヒペロシド,F09,睡眠,Sleep Quality,睡眠质量,82,87,100,100
アスタキサンチン,ING-0008,アスタキサンチン,F15,肌の健康,Skin Health,皮肤健康,80,133,100,100
還元型コエンザイムQ10,ING-0011,コエンザイムQ10,F10,リラックス,Stress Relief,放松减压,79,101,100,100
プラズマ乳酸菌,ING-0017,乳酸菌・プロバイオティクス,F16,免疫,Immunity,免疫力,75,75,100,100
サラシア由来サラシノール,ING-0019,サラシアサラシノール,F02,血糖値,Blood Sugar,血糖调节,75,75,100,100
難消化性デキストリン(食物繊維),ING-0006,食物繊維,F01,腸内環境,Gut Health,肠道健康,73,155,100,100
