ingredient_id,ingredient_name,base_category,function_jp,function_en,function_cn,product_count,popularity_score,recommendation_score,raw_material_examples,products
ING-0001,GABA,GABA,血圧|リラックス|疲労感|睡眠|目の健康|肌の健康|認知機能|筋肉|血糖値|体脂肪|中性脂肪|コレステロール|集中力|抗酸化|腸内環境|血管の健康|免疫|血流|関節|肝機能|骨の健康|アレルギー|尿酸値|妊活・妊娠期,Blood Pressure|Stress Relief|Anti-Fatigue|Sleep Quality|Eye Health|Skin Health|Cognitive Function|Muscle Health|Blood Sugar|Body Fat|Triglycerides|Cholesterol|Concentration|Antioxidant|Gut Health|Vascular Health|Immunity|Blood Circulation|Joint Health|Liver Health|Bone Health|Allergy Relief|Uric Acid|Pregnancy Support,血压|放松减压|抗疲劳|睡眠质量|眼部健康|皮肤健康|认知功能|肌肉健康|血糖调节|体脂肪|甘油三酯|胆固醇|专注力|抗氧化|肠道健康|血管健康|免疫力|血液循环|关节健康|肝脏健康|骨骼健康|抗过敏|尿酸水平|备孕,833,100,100,マリーゴールドエキス、γ-アミノ酪酸 / ラフマ葉抽出物、ＧＡＢＡ / コーヒー豆（生豆生産国名：ブラジル）、ＧＡＢＡ,あしたを想うＡＬＬ－ＦＲＥＥ（オールフリー）|うらべの血圧生活|うるすやリッチ|えのき氷|えのたん|えのたん　大株|おいしいね！！　かきたま|おいしい習慣　しずおかＧＡＢＡ玉露茶|おいしい習慣　しずおかＧＡＢＡ玉露飴|おいらせ黒にんにく　機能性表示食品|おやすみメンテ|おやつサプリ　チーズ味ａ|お～いお茶　ほうじブレンド|からだおだやか茶Ｗ（ダブル）|からだリフレッシュ茶Ｗ（ダブル）|からだ想いピースナイトメモリープラス|からだＷｅｌｃｉａ（ウエルシア）　ルイボスティ―好きがたどりつくＧＡＢＡ（ギャバ）入りルイボスティー|きらめき青汁　ｕｃｈｉｋａｒａ（ウチカラ）|ぎゅっとまるごとにんじんジュース|ぎゅっと濃厚３０品目野菜|ぎゅっとＧＡＢＡ（ギャバ）きらきらケール|くらしモアバナナ|ぐっすりエイト|ぐっすりタイムａ|ぐっすり習慣やすらぎ習慣|ぐっすり＆健やかな目覚めサポートタブレット|こころ習慣　睡眠の質の向上・すっきりとした目覚めをサポート|こころ習慣　血圧・悪玉（ＬＤＬ）コレステロールを下げる|こころ鮮明茶|これひとつａ
ING-0002,ルテイン,ルテイン,目の健康|リラックス|疲労感|認知機能|睡眠|集中力|肌の健康|抗酸化|血圧|血流|免疫|中性脂肪|血管の健康|アレルギー|血糖値|体脂肪|骨の健康|関節,Eye Health|Stress Relief|Anti-Fatigue|Cognitive Function|Sleep Quality|Concentration|Skin Health|Antioxidant|Blood Pressure|Blood Circulation|Immunity|Triglycerides|Vascular Health|Allergy Relief|Blood Sugar|Body Fat|Bone Health|Joint Health,眼部健康|放松减压|抗疲劳|认知功能|睡眠质量|专注力|皮肤健康|抗氧化|血压|血液循环|免疫力|甘油三酯|血管健康|抗过敏|血糖调节|体脂肪|骨骼健康|关节健康,254,100,100,"マリーゴールド色素
GABA / マリーゴールドエキス、γ-アミノ酪酸 / マリーゴールド（ルテイン含有）",あい|あらん|えがお　め・まもーる|えんきんプレミアム|きらめきアイ|きらベジ　ルテインケール|ぎゅっとルテイン　きらきらケール|くっきりプラス|すやすやげんき|はっきりルテイン|はつらつアイ|ひとみにルテイン３０|ひとみルテイン|ひろがるコーヒー|みまもるａ|めがらく|めぐみのルテイン高濃度１００|めぐみのルテイン３０|めぐりさぷりルテイン３０|めなり極|めばえ|よくみえーる　ＥＸ（イーエックス）|アイガード|アイキャッチ|アイサポートプラス|アイジェニック|アイピュア|アイファインクリア|イチョウ葉＆ルテイン|インシップ　ルテイン＆ゼアキサンチン
ING-0003,ブラックジンジャー由来ポリメトキシフラボン,ブラックジンジャーポリメトキシ,体脂肪|筋肉|血糖値|関節|骨の健康|中性脂肪|血圧|疲労感|睡眠|腸内環境|肌の健康|リラックス|血流|認知機能|尿酸値|コレステロール|抗酸化|集中力|目の健康|免疫|肝機能|血管の健康,Body Fat|Muscle Health|Blood Sugar|Joint Health|Bone Health|Triglycerides|Blood Pressure|Anti-Fatigue|Sleep Quality|Gut Health|Skin Health|Stress Relief|Blood Circulation|Cognitive Function|Uric Acid|Cholesterol|Antioxidant|Concentration|Eye Health|Immunity|Liver Health|Vascular Health,体脂肪|肌肉健康|血糖调节|关节健康|骨骼健康|甘油三酯|血压|抗疲劳|睡眠质量|肠道健康|皮肤健康|放松减压|血液循环|认知功能|尿酸水平|胆固醇|抗氧化|专注力|眼部健康|免疫力|肝脏健康|血管健康,249,100,100,桑葉抽出物（桑葉エキス、デキストリン）、ブラックジンジャー抽出物（ブラックジンジャーエキス、デキストリン） / 鶏軟骨抽出物、ブラックジンジャー抽出物 / ブラックジンジャーエキス,あゆみ|いきいきライフ|えがお　内脂燃|おからパウダー　プレーン＋（プラス）|おなかの脂肪ぱっくん|おなかの脂肪を減らす　しっとりカレーせんべい|お腹の脂肪に黒しょうが|お腹の脂肪マイナス|お腹の脂肪マイナスＰＲＥＭＩＵＭ（プレミアム）|お腹の脂肪Ｗ（ダブル）サポート粒|お腹脂肪サポート|お腹脂肪サポートＥＸ|これひとつａ|さらリズムｂ|すらり生活|なんとかしたい　お腹の脂肪！|やずやのすっきり、するっとＢＬＡＣＫ（ブラック）|わたしのチカラ　ＷＡＬＫ（ウォーク）|アクティブリッチ５ａ|アルキマッスル　～健歩の脚・膝関節・脚筋力～|アールジェイゴールド３０００イーエックス|インナースマート|ウエストメンテ|カレー魔人のＭａｇｉｃ　Ｆｌａｖｏｒ（マジックフレーバー）|カロリシェイプ　スリムフレア|コレステロール・脂肪のＷケア|シボサポ|シボスリム　ブラックジンジャー|シボヘルス|シボラナイト
ING-0004,エラグ酸,エラグ酸,体脂肪|中性脂肪|コレステロール|抗酸化|血圧|血糖値|腸内環境|疲労感|血流|睡眠|リラックス|目の健康|肌の健康|筋肉|肝機能|尿酸値|関節|血管の健康,Body Fat|Triglycerides|Cholesterol|Antioxidant|Blood Pressure|Blood Sugar|Gut Health|Anti-Fatigue|Blood Circulation|Sleep Quality|Stress Relief|Eye Health|Skin Health|Muscle Health|Liver Health|Uric Acid|Joint Health|Vascular Health,体脂肪|甘油三酯|胆固醇|抗氧化|血压|血糖调节|肠道健康|抗疲劳|血液循环|睡眠质量|放松减压|眼部健康|皮肤健康|肌肉健康|肝脏健康|尿酸水平|关节健康|血管健康,188,100,100,ザクロ果実エキス / アフリカマンゴノキエキス（エラグ酸含有）（アメリカ製造） / エラグ酸：ザクロ果実エキス末、オリーブ由来ヒドロシチロソール：オリーブ葉エキス末,えがお　フトラント|お腹の脂肪マイナスＰＲＥＭＩＵＭ（プレミアム）|お腹の脂肪Ｗ（ダブル）サポート粒|お腹脂肪サポートＥＸ|がつんと１粒|げんびザクロ|ほそリズム|めぐりの結晶|わさシボール|アスカラダイジェスト|インシップ　エラグ酸|ウエイトシェイプ|ウエイトフィットＢ（ビー）|ウエスト気になるｂ|エラグ酸プレミアム|エラグ酸入り濃縮コーヒー|エラグ酸＋Ｂｒｏ（ブロ）シボレタ|カレー魔人のカレースパイス|カロバーンＥＸ（イーエックス）|カロリンピュア|キロロスＰＲＥＭＩＵＭ（プレミアム）|コレステロールや中性脂肪が気になる方のタブレットＤＸ（ディーエックス）（粒タイプ）|コレステロールや中性脂肪が気になる方の青汁|コレス＆ミドルケア　さらっとおいしい青汁|コレス＆ミドルケア　タブレット（粒タイプ）|サプリ生活プレミアム「ザクロ＋オリーブ」|サプリ生活プレミアム「ザクロ＋オリーブａ」|サラシア＆ザクロの力|ザクロの恵み|シボスリム　エラグ酸
ING-0005,イヌリン,イヌリン,血糖値|腸内環境|中性脂肪|肌の健康|体脂肪|疲労感|リラックス|骨の健康|睡眠|血圧|コレステロール|抗酸化|尿酸値|目の健康|認知機能|集中力|血流|筋肉,Blood Sugar|Gut Health|Triglycerides|Skin Health|Body Fat|Anti-Fatigue|Stress Relief|Bone Health|Sleep Quality|Blood Pressure|Cholesterol|Antioxidant|Uric Acid|Eye Health|Cognitive Function|Concentration|Blood Circulation|Muscle Health,血糖调节|肠道健康|甘油三酯|皮肤健康|体脂肪|抗疲劳|放松减压|骨骼健康|睡眠质量|血压|胆固醇|抗氧化|尿酸水平|眼部健康|认知功能|专注力|血液循环|肌肉健康,160,100,100,チコリ根抽出物（ベルギー製造） / 水溶性食物繊維（イヌリン） / イヌリン（タイ製造）,あじかん焙煎ごぼう茶|おいしく腸活　スペイン産にんにく|おいしく腸活　スペイン産紫にんにく|ごぼう茶プリ　イチョウ葉プラス　ごぼうのおかげ|ととのうイヌリン　プルーン＋（プラス）|のむヨーグルト生乳たっぷり|アーモンドチョコレート（イヌリン使用）|イヌリン|イヌリン|イヌリン|イヌリン　パウダー|イヌリン　ｅ　ＢＯＤＹ　ＴＲＥＡＴＭＥＮＴ　．ａ（イー　ボディ　トリートメント　エー）|イヌリン　ｅ　ＢＯＤＹ　ＴＲＥＡＴＭＥＮＴ（イー　ボディ　トリートメント）|イヌリンハニー|イヌリンＧＯＬＤ（ゴールド）|イヌリーナ|ウェルネスＭ７|グランポワール　ビーントゥバーチョコレート|グランポワール　雪うさぎ（白いちご）クラフトチョコレート|サラッとキクリン|サラヤ健康スムージー　腸活スムージー|ステビアヘルス　イヌリンプラス|スープはるさめＰＬＵＳ（プラス）ごま豆乳味|チコリのイヌリン|ナチュラル快腸　ナチュリン|ノーベルアップ|バンホーテンの腸活ココア|ファインコーヒートリプル|ファインコーヒーＷ（ダブル）|フジのイヌリン
ING-0006,難消化性デキストリン(食物繊維),食物繊維,血糖値|中性脂肪|腸内環境|血圧|体脂肪|コレステロール|抗酸化|認知機能|リラックス,Blood Sugar|Triglycerides|Gut Health|Blood Pressure|Body Fat|Cholesterol|Antioxidant|Cognitive Function|Stress Relief,血糖调节|甘油三酯|肠道健康|血压|体脂肪|胆固醇|抗氧化|认知功能|放松减压,155,100,100,難消化性デキストリン、サラシア濃縮エキス、海藻抽出物、緑茶抽出物、酵素処理ルチン / 難消化性デキストリン（韓国製造） / 難消化性デキストリン,あまみちゃん|おいしいね！！　たまねぎ|おいしい蒟蒻ゼリー　ＰＲＥＭＩＵＭ＋（プレミアムプラス）ぶどう＆マスカット|おいしい蒟蒻ゼリー　ＰＲＥＭＩＵＭ＋（プレミアムプラス）白桃＆黄金桃|おいしい青汁|おだやかプレミアムコーヒー|おだやか京抹茶プレミアム|お好みソース糖類７０％オフ　２００ｇ|からだすっきり茶トリプル|ごぼルーツ|ぱぱゼリーＡミックス（３０個入）|ぱぱゼリーＡミックス（６個入）|ぷらすの緑茶|みんなの健康を考えた野菜たちＲ|やずやのすっきり、するっと|やずやのすっきり、するっとＢＬＡＣＫ（ブラック）|アイスコーヒー|アサヒスタイルバランス食生活サポートゆずサワーノンアルコール|アサヒスタイルバランス食生活サポートシークァーサーサワーノンアルコール|アサヒスタイルバランス食生活サポートハイボールノンアルコール|アサヒスタイルバランス食生活サポートレモンサワーノンアルコール|アサヒスタイルバランス食生活サポート無糖ジンサワーノンアルコール|アサヒスタイルバランス食生活サポート無糖レモンサワーノンアルコール|イージーファイバー乳酸菌プレミアム|エンジョイクリミールＦｉｂｅｒ＋（ファイバープラス）　いちご味|エンジョイクリミールＦｉｂｅｒ＋（ファイバープラス）　コーヒー味|グルコケア　粉末スティック|グルコケア　粉末スティック　濃い茶|スリームーンＣｏｆｆｅｅ（コーヒー）|ゼロサイダートリプル
ING-0007,ゼアキサンチン,ルテイン,目の健康|リラックス|疲労感|睡眠|認知機能|集中力|肌の健康|抗酸化|血圧|血流|血管の健康|免疫|アレルギー|血糖値|中性脂肪|骨の健康|関節,Eye Health|Stress Relief|Anti-Fatigue|Sleep Quality|Cognitive Function|Concentration|Skin Health|Antioxidant|Blood Pressure|Blood Circulation|Vascular Health|Immunity|Allergy Relief|Blood Sugar|Triglycerides|Bone Health|Joint Health,眼部健康|放松减压|抗疲劳|睡眠质量|认知功能|专注力|皮肤健康|抗氧化|血压|血液循环|血管健康|免疫力|抗过敏|血糖调节|甘油三酯|骨骼健康|关节健康,151,100,100,"マリーゴールドエキス、γ-アミノ酪酸 / GABA、イチョウ葉抽出物、マリーゴールド色素 / ルテイン・ゼアキサンチン：マリーゴールド色素
アスタキサンチン：ヘマトコッカス藻色素",あい|えんきんプレミアム|きらめきアイ|くっきりプラス|すやすやげんき|はつらつアイ|ひとみにルテイン３０|ひとみルテイン|ひろがるコーヒー|めがらく|めぐみのルテイン高濃度１００|めぐみのルテイン３０|めぐりさぷりルテイン３０|よくみえーる　ＥＸ（イーエックス）|アイガード|アイサポートプラス|アイピュア|イチョウ葉＆ルテイン|インシップ　ルテイン＆ゼアキサンチン|オメガエイドＰＬＵＳ（プラス）|オメガノイド|クッキリアイＢｅｅ（ビー）ａ|クッキリケア|クッキリ一番|クッキリ一番ＥＸ（イーエックス）|クリアアイ＆スリープ|クリアナッツ　ベリーヨーグルト風味|クリアモア|サポートアイ　クリア|ジョヴィのルテイン
ING-0008,アスタキサンチン,アスタキサンチン,目の健康|肌の健康|抗酸化|疲労感|認知機能|リラックス|集中力|睡眠|筋肉|中性脂肪|体脂肪|血管の健康|コレステロール|関節,Eye Health|Skin Health|Antioxidant|Anti-Fatigue|Cognitive Function|Stress Relief|Concentration|Sleep Quality|Muscle Health|Triglycerides|Body Fat|Vascular Health|Cholesterol|Joint Health,眼部健康|皮肤健康|抗氧化|抗疲劳|认知功能|放松减压|专注力|睡眠质量|肌肉健康|甘油三酯|体脂肪|血管健康|胆固醇|关节健康,133,100,100,"ヘマトコッカス藻色素（アスタキサンチン含有） / 還元型コエンザイムQ10、ヘマトコッカス藻色素 / ルテイン・ゼアキサンチン：マリーゴールド色素
アスタキサンチン：ヘマトコッカス藻色素",あい楽|えんきんプレミアム|ぎゅっとアスタキサンチン|わたしのチカラ　ＢＥＡＵＴＩＦＬＹ（ビューティフライ）|わたしのチカラ　ＢＥＡＵＴＩＦＬＹ（ビューティフライ）ｅｘ（イーエックス）|アイラークプレミアム５|アイ・メモリー|アスタキサンチン|アスタキサンチン　ホワイト|アスタキサンチンの恵（めぐみ）|アスタキサンチン肌潤いａ|アスタビータｅ（イー）|アスタリフト　サプリメント　ホワイトシールドｃ|アスタリフト　ホワイト　ドリンク　ホワイトシールド|アスタリールアスタキサンチン|アスタレラ|アールジー　フュウチャー　ジェネレーション　ハーティ　オーバル|エイジケアプラス　ＮＭＮ（エヌエムエヌ）×アスタキサンチン|キョーリック　アスタキサンチン|クッキリアイＢｅｅ（ビー）ａ|クリルオイル三洋|スマホによる眼の疲労感・肩・腰に赤の１粒|セサミンバイタル|トキワ　アイルテインⅤ|ネイチャーメイド　アスタキサンチン|ノエビア　ルテインプラスツー|ビューパワープラス　アスタキサンチン・ルテイン＜サプリメント＞|ピント・モイスト５５００|ピントＷ（ダブル）|ファイテン　アスタインザイム
ING-0009,サケ鼻軟骨由来プロテオグリカン,プロテオグリカン,骨の健康|関節|睡眠|肌の健康|筋肉|体脂肪|疲労感|血流|リラックス|腸内環境|目の健康,Bone Health|Joint Health|Sleep Quality|Skin Health|Muscle Health|Body Fat|Anti-Fatigue|Blood Circulation|Stress Relief|Gut Health|Eye Health,骨骼健康|关节健康|睡眠质量|皮肤健康|肌肉健康|体脂肪|抗疲劳|血液循环|放松减压|肠道健康|眼部健康,129,100,100,"プロテオグリカン含有サケ鼻軟骨抽出物（デキストリン、サケ鼻軟骨抽出物）、筋骨草エキス末 / サケ鼻軟骨エキス / 機能性関与成分サケ鼻軟骨由来Ⅱ型コラーゲン、サケ鼻軟骨由来プロテオグリカン：サケ鼻軟骨抽出物
機能性関与成分米由来グルコシルセラミド：米胚芽抽出物末",あゆみ|あゆみの宝　プロテオグリカン|かしこく健康習慣　あおもりプロテオグリカン|かしこく健康習慣　あおもりプロテオグリカン|かしこく健康習慣　あおもりプロテオグリカン|すこやか自慢　滑らか生活プレミアム|ひざの助|ひざグッド|ひざケアサポート|ひざラック　プロテオグリカンＡ（エー）|ひざ楽元気プロテオグリカン|ひざ自慢|ひざ軽コラーゲン|ひざ軽コラーゲンサプリ|ひざ軽コラーゲンパウダー|ひざ関節のお悩み改善サポート|ふしゲンサポート|ふし楽ＤＸ（デラックス）|らくほちゃんＮ|アクティブリッチ５ａ|アルキマッスル　～健歩の脚・膝関節・脚筋力～|コラーゲンＺＪ（ゼットジェイ）|サヤカ　プロテオグリカン|ジョイントアクティブ|ジョイントプロ極|スムーズウォーク|ソーリフティ|ノエビア　膝美日和（ひざびより）|ヒザテクトａ|ビューパワープラス　プロテオグリカン・セラミド＜パウダー＞
ING-0010,有胞子性乳酸菌,乳酸菌・プロバイオティクス,腸内環境|体脂肪|血糖値|中性脂肪|肌の健康|睡眠|疲労感|リラックス|目の健康|認知機能|血圧|筋肉|コレステロール|集中力|肝機能|血流|尿酸値,Gut Health|Body Fat|Blood Sugar|Triglycerides|Skin Health|Sleep Quality|Anti-Fatigue|Stress Relief|Eye Health|Cognitive Function|Blood Pressure|Muscle Health|Cholesterol|Concentration|Liver Health|Blood Circulation|Uric Acid,肠道健康|体脂肪|血糖调节|甘油三酯|皮肤健康|睡眠质量|抗疲劳|放松减压|眼部健康|认知功能|血压|肌肉健康|胆固醇|专注力|肝脏健康|血液循环|尿酸水平,117,100,100,"ターミナリアベリリカ抽出物、有胞子性乳酸菌末、GABA（γ-アミノ酪酸） / ブラックジンジャー抽出物（ブラックジンジャーエキス、デキストリン）、茶花エキス末（マルトデキストリン、茶花抽出物）、バナバエキス、有胞子性乳酸菌 / 【有胞子性乳酸菌（Heyndrickxia coagulans SANK70258）】
有胞子性乳酸菌
【3-(4-ヒドロキシ-3-メトキシフェニル)プロピオン酸 (HMPA) 】
米ぬか発酵物",お通じの気になる方のケア習慣|するるん緑茶|まいにち快通|みなわ発酵の爽軽青汁|みやびの植物酵素１００|イクモアフローラ|イージーファイバー乳酸菌プレミアム|ウェルカム快便|ウルトラプロテイン　プレミアム＋（プラス）生きて腸まで届く乳酸菌ｄ（ディー）|カテキン緑茶のチカラＷｂ（ダブルビー）|クレンズケールカクテル|シボトリーＰＲＥＭＩＵＭ（プレミアム）|スヤリラ　青汁|デトスループレミアム|ナイシケアＷ（ダブル）プレミアム|ノエビア　トリプルコントロール|ビフィコロン　腸脳アシスト|ファインベース　メタヘルナイン７５００|ブラックジンジャープレミアムＥＸ（イーエックス）|プレミアム乳青|ベルタスリムトリプル|ボラケアバランスｗｉｔｈ（ウィズ）乳酸菌|メタボメ青汁スッキリーナ　乳酸菌＋α|中性脂肪血糖値Ｗケア大麦若葉青汁|乳酸菌プラス２２|乳酸菌＆イチョウ葉の恵みａ|乳酸菌Ｇ（ジー）|便通改善ミデール|善玉プロバイオティクスα|国産桑葉の乳酸菌青汁
